Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Playing Time-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success-On-Off;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;Team Success (xG)-On-Off;Matches;
1;Dickson Abiama\Dickson-Abiama;ng NGA;FW;Greuther Fürth;22-298;1998;2;117;59;65.0;1.3;1;85;0;1;32;0;0.50;2;3;-1;-0.77;+3.52;2.6;2.6;0.0;+0.02;+2.19;Matches
2;Ragnar Ache\Ragnar-Ache;de GER;MFFW;Eint Frankfurt;23-031;1998;2;16;8;8.9;0.2;0;;0;2;8;0;0.50;0;0;0;0.00;+1.65;0.5;0.2;+0.3;+1.87;+1.78;Matches
3;Tyler Adams\Tyler-Adams;us USA;MF;RB Leipzig;22-195;1999;2;153;77;85.0;1.7;2;77;1;0;;0;1.50;4;1;+3;+1.76;+1.76;3.8;2.3;+1.5;+0.91;-0.76;Matches
4;Sargis Adamyan\Sargis-Adamyan;am ARM;FWMF;Hoffenheim;28-097;1993;3;82;27;30.4;0.9;0;;0;3;27;0;1.33;4;1;+3;+3.29;+3.29;3.3;2.5;+0.8;+0.92;+1.25;Matches
5;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;26-040;1995;3;270;90;100.0;3.0;3;90;3;0;;0;2.00;9;6;+3;+1.00;;8.1;4.9;+3.2;+1.07;;Matches
6;Kevin Akpoguma\Kevin-Akpoguma;ng NGA;DF;Hoffenheim;26-131;1995;3;252;84;93.3;2.8;3;84;2;0;;0;1.33;5;5;0;0.00;-15.00;3.8;6.0;-2.2;-0.79;-12.54;Matches
7;Nadiem Amiri\Nadiem-Amiri;de GER;FW;Leverkusen;24-305;1996;2;98;49;54.4;1.1;1;75;0;1;23;0;2.00;2;1;+1;+0.92;-2.37;0.7;0.8;-0.1;-0.11;-0.87;Matches
8;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Köln;30-044;1991;2;37;19;20.6;0.4;0;;0;2;19;0;1.50;0;1;-1;-2.43;-3.69;0.1;1.3;-1.3;-3.11;-2.68;Matches
9;Robert Andrich\Robert-Andrich;de GER;MF;Leverkusen;26-340;1994;1;23;23;12.8;0.3;0;;0;1;23;0;3.00;1;0;+1;+3.91;+2.19;0.2;0.6;-0.4;-1.61;-2.17;Matches
10;Angeliño\Angelino;es ESP;DF;RB Leipzig;24-236;1997;1;90;90;50.0;1.0;1;90;1;0;;0;0.00;0;1;-1;-1.00;-5.00;1.2;1.1;+0.1;+0.12;-1.80;Matches
11;Waldemar Anton\Waldemar-Anton;de GER;DF;Stuttgart;25-039;1996;2;180;90;100.0;2.0;2;90;2;0;;0;1.50;5;5;0;0.00;;5.2;4.0;+1.2;+0.61;;Matches
12;Christopher Antwi-Adjei\Christopher-Antwi-Adjei;gh GHA;MFFW;Bochum;27-202;1994;1;90;90;50.0;1.0;1;90;1;0;;0;0.00;0;1;-1;-1.00;-3.00;0.5;3.1;-2.5;-2.52;-2.52;Matches
13;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;Leverkusen;32-133;1989;2;173;87;96.1;1.9;2;87;1;0;;0;2.00;4;1;+3;+1.56;-11.30;2.6;1.8;+0.8;+0.42;+3.54;Matches
14;Maximilian Arnold\Maximilian-Arnold;de GER;MF;Wolfsburg;27-093;1994;2;180;90;100.0;2.0;2;90;2;0;;0;3.00;3;1;+2;+1.00;;4.4;1.9;+2.5;+1.26;;Matches
15;Takuma Asano\Takuma-Asano;jp JPN;FW;Bochum;26-291;1994;2;55;28;30.6;0.6;1;45;0;1;10;0;1.50;0;1;-1;-1.64;-3.08;0.3;1.9;-1.7;-2.75;-2.14;Matches
16;Santiago Ascacíbar\Santiago-Ascacibar;ar ARG;MF;Hertha BSC;24-184;1997;2;180;90;100.0;2.0;2;90;2;0;;0;0.00;2;5;-3;-1.50;;3.3;3.1;+0.2;+0.09;;Matches
17;Taiwo Awoniyi\Taiwo-Awoniyi;ng NGA;FW;Union Berlin;24-016;1997;2;130;65;72.2;1.4;2;65;0;0;;0;1.00;3;3;0;0.00;0.00;1.4;1.4;0.0;+0.01;-0.66;Matches
18;Mitchel Bakker\Mitchel-Bakker;nl NED;DF;Leverkusen;21-069;2000;2;180;90;100.0;2.0;2;90;2;0;;0;2.00;5;1;+4;+2.00;;2.7;2.1;+0.6;+0.28;;Matches
19;Ridle Baku\Ridle-Baku;de GER;MFFW;Wolfsburg;23-142;1998;2;180;90;100.0;2.0;2;90;2;0;;0;3.00;3;1;+2;+1.00;;4.4;1.9;+2.5;+1.26;;Matches
20;Aymen Barkok\Aymen-Barkok;ma MAR;FW;Eint Frankfurt;23-099;1998;1;45;45;25.0;0.5;1;45;0;0;;1;0.00;1;3;-2;-4.00;-3.33;0.1;1.6;-1.6;-3.15;-4.52;Matches
21;Leandro Barreiro Martins\Leandro-Barreiro-Martins;lu LUX;MF;Mainz 05;21-237;2000;2;180;90;100.0;2.0;2;90;2;0;;0;1.50;1;2;-1;-0.50;;1.9;2.0;-0.1;-0.06;;Matches
22;Jacob Barrett Laursen\Jacob-Barrett-Laursen;dk DEN;DF;Arminia;26-284;1994;2;166;83;92.2;1.8;2;83;1;0;;0;1.00;1;1;0;0.00;0.00;1.4;3.4;-2.0;-1.08;+0.82;Matches
23;Abdourahmane Barry\Abdourahmane-Barry;fr FRA;DF;Greuther Fürth;21-188;2000;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
24;Maximilian Bauer\Maximilian-Bauer;de GER;DF;Greuther Fürth;21-200;2000;2;180;90;100.0;2.0;2;90;2;0;;0;0.50;2;6;-4;-2.00;;3.1;4.6;-1.5;-0.74;;Matches
25;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;31-087;1990;3;270;90;100.0;3.0;3;90;3;0;;0;1.33;8;5;+3;+1.00;;6.2;6.1;+0.2;+0.05;;Matches
26;Timo Baumgartl\Timo-Baumgartl;de GER;DF;Union Berlin;25-177;1996;1;90;90;50.0;1.0;1;90;1;0;;1;1.00;1;1;0;0.00;0.00;0.4;0.7;-0.3;-0.30;-0.99;Matches
27;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;Leverkusen;33-238;1988;2;9;5;5.0;0.1;0;;0;2;5;0;2.00;1;0;+1;+10.00;+8.42;0.1;0.4;-0.3;-2.92;-3.37;Matches
28;Christoph Baumgartner\Christoph-Baumgartner;at AUT;FWMF;Hoffenheim;22-027;1999;3;220;73;81.5;2.4;3;73;0;0;;0;1.33;4;4;0;0.00;-5.40;3.0;4.1;-1.1;-0.46;-2.74;Matches
29;Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee;ng NGA;FW;Augsburg;25-007;1996;1;10;10;5.6;0.1;0;;0;1;10;1;0.00;0;2;-2;-18.00;-16.94;0.1;1.8;-1.7;-15.38;-14.19;Matches
30;Sheraldo Becker\Sheraldo-Becker;sr SUR;FWMF;Union Berlin;26-200;1995;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
31;Kevin Behrens\Kevin-Behrens;de GER;MF;Union Berlin;30-206;1991;1;10;10;5.6;0.1;0;;0;1;10;1;1.00;0;0;0;0.00;0.00;0.2;0.1;+0.1;+0.81;+0.66;Matches
32;Stefan Bell\Stefan-Bell;de GER;DF;Mainz 05;30-004;1991;2;157;79;87.2;1.7;2;79;1;0;;0;1.50;1;2;-1;-0.57;-0.57;1.6;2.0;-0.4;-0.23;-1.35;Matches
33;Armel Bella Kotchap\Armel-Bella-Kotchap;de GER;DF;Bochum;19-260;2001;1;90;90;50.0;1.0;1;90;1;0;;1;3.00;2;0;+2;+2.00;+3.00;0.8;0.8;0.0;0.00;+2.52;Matches
34;Jude Bellingham\Jude-Bellingham;eng ENG;MF;Dortmund;18-060;2003;3;233;78;86.3;2.6;3;78;1;0;;0;2.00;8;4;+4;+1.55;+3.98;6.3;3.2;+3.1;+1.20;+1.00;Matches
35;László Bénes\Laszlo-Benes;sk SVK;MF;M'Gladbach;23-353;1997;1;1;1;0.6;0.0;0;;0;1;1;1;1.00;0;0;0;0.00;+2.01;0.0;0.2;-0.2;-16.99;-16.60;Matches
36;Keanen Bennetts\Keanen-Bennetts;eng ENG;FW;M'Gladbach;22-172;1999;1;19;19;10.6;0.2;0;;0;1;19;1;1.00;0;0;0;0.00;+2.24;1.3;0.4;+0.8;+4.01;+5.02;Matches
37;Ramy Bensebaini\Ramy-Bensebaini;dz ALG;DF;M'Gladbach;26-134;1995;1;46;46;25.6;0.5;0;;0;1;46;0;0.00;0;2;-2;-3.91;-2.57;0.8;0.6;+0.2;+0.36;+1.14;Matches
38;Louis Beyer\Louis-Beyer;de GER;DF;M'Gladbach;21-101;2000;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
39;Kevin-Prince Boateng\Kevin-Prince-Boateng;gh GHA;MF;Hertha BSC;34-175;1987;2;100;50;55.6;1.1;2;50;0;0;;0;0.00;1;3;-2;-1.80;-0.68;1.5;1.8;-0.2;-0.22;-0.70;Matches
40;Ben Bobzien\Ben-Bobzien;de GER;FW;Mainz 05;18-121;2003;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
41;Herbert Bockhorn\Herbert-Bockhorn;de GER;DF;Bochum;26-209;1995;2;44;22;24.4;0.5;0;;0;2;22;0;1.50;0;0;0;0.00;-0.66;0.1;0.5;-0.4;-0.86;+0.53;Matches
42;Jean-Paul Boëtius\Jean-Paul-Boetius;nl NED;MF;Mainz 05;27-159;1994;1;45;45;25.0;0.5;0;;0;1;45;0;0.00;0;1;-1;-2.00;-2.00;0.4;0.2;+0.2;+0.43;+0.64;Matches
43;Melayro Bogarde\Melayro-Bogarde;nl NED;DF;Hoffenheim;19-092;2002;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
44;Sebastiaan Bornauw\Sebastiaan-Bornauw;be BEL;DF;Wolfsburg;22-159;1999;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
45;Rafael Borré\Rafael-Borre;co COL;FW;Eint Frankfurt;25-347;1995;2;180;90;100.0;2.0;2;90;2;0;;0;0.50;2;5;-3;-1.50;;3.3;2.9;+0.5;+0.24;;Matches
46;Dedryck Boyata\Dedryck-Boyata;be BEL;DF;Hertha BSC;30-273;1990;1;83;83;46.1;0.9;1;83;0;0;;0;0.00;1;1;0;0.00;+2.78;1.3;1.0;+0.4;+0.40;+0.56;Matches
47;Julian Brandt\Julian-Brandt;de GER;MF;Dortmund;25-118;1996;2;48;24;17.8;0.5;0;;0;2;24;0;1.50;2;1;+1;+1.87;+1.06;2.4;0.8;+1.6;+2.96;+2.31;Matches
48;Fabian Bredlow\Fabian-Bredlow;de GER;GK;Stuttgart;26-179;1995;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
49;Josip Brekalo\Josip-Brekalo;hr CRO;MF;Wolfsburg;23-066;1998;1;21;21;11.7;0.2;0;;0;1;21;0;3.00;2;0;+2;+8.57;+8.57;0.8;0.3;+0.5;+2.21;+1.07;Matches
50;Brian Brobbey\Brian-Brobbey;nl NED;FW;RB Leipzig;19-208;2002;1;9;9;5.0;0.1;0;;0;1;9;1;0.00;0;0;0;0.00;-1.58;0.1;0.0;+0.1;+1.21;+0.20;Matches
51;John Brooks\John-Brooks;us USA;DF;Wolfsburg;28-212;1993;2;180;90;100.0;2.0;2;90;2;0;;0;3.00;3;1;+2;+1.00;;4.4;1.9;+2.5;+1.26;;Matches
52;Cédric Brunner\Cedric-Brunner;ch SUI;DF;Arminia;27-192;1994;2;156;78;86.7;1.7;2;78;1;0;;0;1.00;1;1;0;0.00;0.00;1.4;3.2;-1.8;-1.06;+0.58;Matches
53;Jacob Bruun Larsen\Jacob-Bruun-Larsen;dk DEN;FWMF;Hoffenheim;22-343;1998;3;188;63;69.6;2.1;3;63;0;0;;0;1.33;4;4;0;0.00;-3.29;2.9;3.6;-0.7;-0.33;-1.25;Matches
54;Sascha Burchert\Sascha-Burchert;de GER;GK;Greuther Fürth;31-302;1989;2;180;90;100.0;2.0;2;90;2;0;;0;0.50;2;6;-4;-2.00;;3.1;4.6;-1.5;-0.74;;Matches
55;Jonathan Burkardt\Jonathan-Burkardt;de GER;FW;Mainz 05;21-048;2000;2;180;90;100.0;2.0;2;90;2;0;;0;1.50;1;2;-1;-0.50;;1.9;2.0;-0.1;-0.06;;Matches
56;Daniel Caligiuri\Daniel-Caligiuri;it ITA;FWMF;Augsburg;33-225;1988;2;46;23;25.6;0.5;0;;0;2;23;0;0.50;0;3;-3;-5.87;-5.20;0.2;2.8;-2.6;-5.12;-4.23;Matches
57;Emre Can\Emre-Can;de GER;DF;Dortmund;27-228;1994;1;11;11;4.1;0.1;0;;0;1;11;0;0.00;0;0;0;0.00;-1.04;0.1;0.0;+0.1;+0.88;-0.20;Matches
58;Koen Casteels\Koen-Casteels;be BEL;GK;Wolfsburg;29-064;1992;2;180;90;100.0;2.0;2;90;2;0;;0;3.00;3;1;+2;+1.00;;4.4;1.9;+2.5;+1.26;;Matches
59;Timothy Chandler\Timothy-Chandler;us USA;DFMF;Eint Frankfurt;31-152;1990;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
60;Vladislav Cherny\Vladislav-Cherny;de GER;MF;Arminia;18-068;2003;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
61;Raman Chibsah\Raman-Chibsah;gh GHA;MF;Bochum;28-171;1993;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
62;Max Christiansen\Max-Christiansen;de GER;MF;Greuther Fürth;24-337;1996;1;20;20;11.1;0.2;0;;0;1;20;0;1.00;0;0;0;0.00;+2.25;0.5;0.1;+0.4;+1.67;+2.72;Matches
63;Darko Churlinov\Darko-Churlinov;mk MKD;MF;Stuttgart;21-048;2000;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
64;Kingsley Coman\Kingsley-Coman;fr FRA;FW;Bayern Munich;25-076;1996;1;16;16;8.9;0.2;0;;0;1;16;0;1.00;0;0;0;0.00;-0.55;0.4;1.3;-0.8;-4.76;-6.59;Matches
65;Danny da Costa\Danny-da-Costa;de GER;DF;Eint Frankfurt;28-046;1993;1;90;90;50.0;1.0;1;90;1;0;;1;0.00;2;5;-3;-3.00;-3.00;1.9;2.7;-0.7;-0.71;-1.90;Matches
66;Mickaël Cuisance\Mickael-Cuisance;fr FRA;MF;Bayern Munich;22-012;1999;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
67;Matheus Cunha\Matheus-Cunha;br BRA;FW;Hertha BSC;22-093;1999;1;64;64;35.6;0.7;1;64;0;0;;0;0.00;1;3;-2;-2.81;-2.04;1.4;1.6;-0.2;-0.32;-0.63;Matches
68;Rafael Czichos\Rafael-Czichos;de GER;DF;Köln;31-106;1990;2;180;90;100.0;2.0;2;90;2;0;;0;1.50;5;4;+1;+0.50;;2.5;4.5;-2.0;-0.98;;Matches
69;Moanes Dabour\Moanes-Dabour;il ISR;MFFW;Hoffenheim;29-106;1992;3;127;42;47.0;1.4;2;60;0;1;8;0;1.33;4;3;+1;+0.71;-0.55;2.5;3.0;-0.5;-0.38;-0.80;Matches
70;Finn Dahmen\Finn-Dahmen;de GER;GK;Mainz 05;23-154;1998;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
71;Mahmoud Dahoud\Mahmoud-Dahoud;de GER;MF;Dortmund;25-239;1996;3;270;90;100.0;3.0;3;90;3;0;;0;2.00;9;6;+3;+1.00;;8.1;4.9;+3.2;+1.07;;Matches
72;Márton Dárdai\Marton-Dardai;de GER;DF;Hertha BSC;19-197;2002;1;90;90;50.0;1.0;1;90;1;0;;0;0.00;1;3;-2;-2.00;-1.00;1.9;1.7;+0.2;+0.18;+0.18;Matches
73;Vladimír Darida\Vladimir-Darida;cz CZE;MF;Hertha BSC;31-020;1990;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
